"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","REGION","LLAVE_PANEL","ESTRATO","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","I339_1","D341_T","I342","D344","I345_1","I348","D347_T","D350","D351_T","INGTOT","INGTOTP","ingtrabw","RESIDENT","fa_def25"
2025,"02","1926602",1,"0011",1,1,"20231119266021001111",1,1,1,1,2,,2,27,1,1,23,9,1997,1,,,,,,,,,,,,,,,,5131,5610,3,5,2,1,1,8,0,8,8,8,8,8,8,48,,48,1,,1,1,1,2,1,60,12,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,1800,360,,,,,,,,2160,2160,2160,1,1987.7955067591467
2025,"02","1926602",1,"0011",1,1,"20231119266021001112",1,2,3,1,2,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,"02","1926602",1,"0011",1,1,"20231119266021001113",1,3,3,1,2,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,"02","1926602",1,"0012",1,1,"20231119266021001211",1,1,1,1,2,,2,59,1,1,22,3,1965,1,,,,,,,,,,,,,,,,9111,9700,6,,,,1,2,0,8,0,0,0,0,8,16,,16,1,,1,2,2,1,2,100,20,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,4,5,,2,2,2,2,2,2,10,7,1,433,87,,,,,,,,520,520,520,1,1625.2179917134545
2025,"02","1926602",1,"0012",1,1,"20231119266021001212",1,2,3,1,2,,1,15,2,2,10,4,2009,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,3,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,1751.6717318039691
2025,"02","1926602",1,"0008",1,1,"20241119266021000811",1,1,1,1,2,,1,41,1,1,9,9,1983,1,,,,,,,,,,,,,,,,3334,6810,2,,2,1,1,1,0,5,5,5,5,5,0,25,32,57,1,,2,,2,2,,,,,,,,1500,,,,,,,,,1,2,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,10000,,,1500,,,,11500,10000,11500,1,2120.6752939266844
2025,"02","1926602",1,"0009",1,1,"20231119266021000911",1,1,1,1,2,,1,51,1,1,6,8,1973,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,3,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,1760.4309017302546
2025,"02","1926602",1,"0009",1,1,"20231119266021000912",1,2,2,1,2,,2,47,2,2,19,10,1977,1,,,,,,,,,,,,,,,,9411,5610,1,,3,2,1,2,0,8,8,8,8,8,8,48,,48,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,2135,300,,,,,,2435,2435,2435,1,1625.2179917134545
2025,"02","1926602",1,"0009",1,1,"20231119266021000913",1,3,3,1,2,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,"02","1929702",1,"0019",1,1,"20241119297021001911",1,1,1,1,2,,1,50,1,2,22,7,1974,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,2,2,7,,,1,4,2,,2,,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,850.8303682654984
2025,"02","1929702",1,"0019",1,1,"20241119297021001912",1,2,2,1,2,,2,51,2,2,22,5,1973,1,,,,,,,,,,,,,,,,2359,8549,2,,3,2,1,1,0,2,0,2,0,2,0,6,,6,1,,1,1,1,2,,,,,,,,,,,,,,,,,1,4,2,,2,,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,260,,,,,,,260,260,260,1,785.4808848459716
2025,"02","1929702",1,"0019",1,1,"20241119297021001913",1,3,3,1,2,,1,15,3,3,6,3,2009,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,3,,,2,4,2,,2,,2,,1,4,2,,2,,2,,2,,2,,2,,2,,2,,5,2,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,846.5969912174377
2025,"02","1929702",1,"0020",1,1,"20241119297021002011",1,1,1,1,2,,1,44,1,1,24,4,1980,1,,,,,,,,,,,,,,,,4222,8220,3,5,1,,5,7000,0,8,8,8,8,8,5,45,,45,1,,2,,2,2,4,1800,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,9,3,,2,1,2,2,2,2,10,7,1,1800,,,,,,,,375,1800,1800,2175,1,1024.9393711106632
2025,"02","1929702",1,"0020",1,1,"20241119297021002012",1,2,2,1,2,,2,43,2,2,1,10,1981,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,7513,1071,2,,3,2,1,1,0,0,0,4,0,0,4,8,,8,1,,1,1,1,2,,,,,,,,,,,,,,,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,10,3,,2,2,2,2,2,2,10,7,1,,,200,,,,,,,200,200,200,1,960.7175046689431
2025,"02","1929702",1,"0020",1,1,"20241119297021002013",1,3,3,1,1,,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2025,"02","1929702",1,"0020",1,1,"20241119297021002014",1,4,3,1,2,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
